unit_number,cycle,RUL_linear,erro_reconstrucao,anomalia,status,faixa_RUL
1,30,162.0,0.01012279,0,NORMAL,RUL > 125
1,31,161.0,0.010048706,0,NORMAL,RUL > 125
1,32,160.0,0.010002979,0,NORMAL,RUL > 125
1,33,159.0,0.010021361,0,NORMAL,RUL > 125
1,34,158.0,0.009995125,0,NORMAL,RUL > 125
1,35,157.0,0.010162072,0,NORMAL,RUL > 125
1,36,156.0,0.010273501,0,NORMAL,RUL > 125
1,37,155.0,0.010269823,0,NORMAL,RUL > 125
1,38,154.0,0.010272574,0,NORMAL,RUL > 125
1,39,153.0,0.010267194,0,NORMAL,RUL > 125
1,40,152.0,0.00999713,0,NORMAL,RUL > 125
1,41,151.0,0.009936991,0,NORMAL,RUL > 125
1,42,150.0,0.009905132,0,NORMAL,RUL > 125
1,43,149.0,0.009636962,0,NORMAL,RUL > 125
1,44,148.0,0.0094558215,0,NORMAL,RUL > 125
1,45,147.0,0.009535267,0,NORMAL,RUL > 125
1,46,146.0,0.009525621,0,NORMAL,RUL > 125
1,47,145.0,0.009401453,0,NORMAL,RUL > 125
1,48,144.0,0.009425238,0,NORMAL,RUL > 125
1,49,143.0,0.009336592,0,NORMAL,RUL > 125
1,50,142.0,0.009175219,0,NORMAL,RUL > 125
1,51,141.0,0.009318665,0,NORMAL,RUL > 125
1,52,140.0,0.009623968,0,NORMAL,RUL > 125
1,53,139.0,0.009584261,0,NORMAL,RUL > 125
1,54,138.0,0.009558056,0,NORMAL,RUL > 125
1,55,137.0,0.009239113,0,NORMAL,RUL > 125
1,56,136.0,0.009339652,0,NORMAL,RUL > 125
1,57,135.0,0.00924575,0,NORMAL,RUL > 125
1,58,134.0,0.009089611,0,NORMAL,RUL > 125
1,59,133.0,0.009481255,0,NORMAL,RUL > 125
1,60,132.0,0.009212421,0,NORMAL,RUL > 125
1,61,131.0,0.009170528,0,NORMAL,RUL > 125
1,62,130.0,0.009215076,0,NORMAL,RUL > 125
