unit_number,cycle,RUL_linear,erro_reconstrucao,anomalia,status,faixa_RUL,anomaly_score,anomalia_threshold
1,30,162.0,0.01012279,0,NORMAL,RUL > 125,4.400009658655903,0
1,31,161.0,0.010048706,0,NORMAL,RUL > 125,1.0872695337372706,0
1,32,160.0,0.010002979,0,NORMAL,RUL > 125,0.0,0
1,33,159.0,0.010021361,0,NORMAL,RUL > 125,0.0,0
1,34,158.0,0.009995125,0,NORMAL,RUL > 125,0.0,0
1,35,157.0,0.010162072,0,NORMAL,RUL > 125,6.156543560538263,0
1,36,156.0,0.010273501,0,NORMAL,RUL > 125,11.139202695838213,0
1,37,155.0,0.010269823,0,NORMAL,RUL > 125,10.974737248785534,0
1,38,154.0,0.010272574,0,NORMAL,RUL > 125,11.09775096407692,0
1,39,153.0,0.010267194,0,NORMAL,RUL > 125,10.857178885462647,0
1,40,152.0,0.00999713,0,NORMAL,RUL > 125,0.0,0
1,41,151.0,0.009936991,0,NORMAL,RUL > 125,0.0,0
1,42,150.0,0.009905132,0,NORMAL,RUL > 125,0.0,0
1,43,149.0,0.009636962,0,NORMAL,RUL > 125,0.0,0
1,44,148.0,0.0094558215,0,NORMAL,RUL > 125,0.0,0
1,45,147.0,0.009535267,0,NORMAL,RUL > 125,0.0,0
1,46,146.0,0.009525621,0,NORMAL,RUL > 125,0.0,0
1,47,145.0,0.009401453,0,NORMAL,RUL > 125,0.0,0
1,48,144.0,0.009425238,0,NORMAL,RUL > 125,0.0,0
1,49,143.0,0.009336592,0,NORMAL,RUL > 125,0.0,0
1,50,142.0,0.009175219,0,NORMAL,RUL > 125,0.0,0
1,51,141.0,0.009318665,0,NORMAL,RUL > 125,0.0,0
1,52,140.0,0.009623968,0,NORMAL,RUL > 125,0.0,0
1,53,139.0,0.009584261,0,NORMAL,RUL > 125,0.0,0
1,54,138.0,0.009558056,0,NORMAL,RUL > 125,0.0,0
1,55,137.0,0.009239113,0,NORMAL,RUL > 125,0.0,0
1,56,136.0,0.009339652,0,NORMAL,RUL > 125,0.0,0
1,57,135.0,0.00924575,0,NORMAL,RUL > 125,0.0,0
1,58,134.0,0.009089611,0,NORMAL,RUL > 125,0.0,0
1,59,133.0,0.009481255,0,NORMAL,RUL > 125,0.0,0
1,60,132.0,0.009212421,0,NORMAL,RUL > 125,0.0,0
1,61,131.0,0.009170528,0,NORMAL,RUL > 125,0.0,0
1,62,130.0,0.009215076,0,NORMAL,RUL > 125,0.0,0
1,63,129.0,0.009612271,0,NORMAL,RUL > 125,0.0,0
1,64,128.0,0.0094345305,0,NORMAL,RUL > 125,0.0,0
1,65,127.0,0.00948666,0,NORMAL,RUL > 125,0.0,0
1,66,126.0,0.009529154,0,NORMAL,RUL > 125,0.0,0
1,67,125.0,0.009627674,0,NORMAL,76-125,0.0,0
1,68,124.0,0.009458629,0,NORMAL,76-125,0.0,0
1,69,123.0,0.009316033,0,NORMAL,76-125,0.0,0
1,70,122.0,0.009252812,0,NORMAL,76-125,0.0,0
1,71,121.0,0.009087255,0,NORMAL,76-125,0.0,0
1,72,120.0,0.009200284,0,NORMAL,76-125,0.0,0
1,73,119.0,0.00904317,0,NORMAL,76-125,0.0,0
1,74,118.0,0.009252697,0,NORMAL,76-125,0.0,0
1,75,117.0,0.009375279,0,NORMAL,76-125,0.0,0
1,76,116.0,0.009563458,0,NORMAL,76-125,0.0,0
1,77,115.0,0.009630407,0,NORMAL,76-125,0.0,0
1,78,114.0,0.009994064,0,NORMAL,76-125,0.0,0
1,79,113.0,0.010096575,0,NORMAL,76-125,3.2277797254079665,0
1,80,112.0,0.0104132155,0,NORMAL,76-125,17.38667624185272,0
1,81,111.0,0.010230175,0,NORMAL,76-125,9.20183729099737,0
1,82,110.0,0.009856665,0,NORMAL,76-125,0.0,0
1,83,109.0,0.009891868,0,NORMAL,76-125,0.0,0
1,84,108.0,0.009762923,0,NORMAL,76-125,0.0,0
1,85,107.0,0.00998796,0,NORMAL,76-125,0.0,0
1,86,106.0,0.009914984,0,NORMAL,76-125,0.0,0
1,87,105.0,0.010180529,0,NORMAL,76-125,6.9818667677844575,0
1,88,104.0,0.010115819,0,NORMAL,76-125,4.088294424451395,0
1,89,103.0,0.00971356,0,NORMAL,76-125,0.0,0
1,90,102.0,0.010116563,0,NORMAL,76-125,4.121563128259788,0
1,91,101.0,0.010320208,0,NORMAL,76-125,13.227752895808164,0
1,92,100.0,0.0103460755,0,NORMAL,76-125,14.384444019145562,0
1,93,99.0,0.010071983,0,NORMAL,76-125,2.1281238597419665,0
1,94,98.0,0.010226125,0,NORMAL,76-125,9.020737492040572,0
1,95,97.0,0.010613979,0,NORMAL,76-125,26.36401685614329,0
1,96,96.0,0.010484989,0,NORMAL,76-125,20.59610004936646,0
1,97,95.0,0.010531924,0,NORMAL,76-125,22.694845497277672,0
1,98,94.0,0.010931846,0,NORMAL,76-125,40.57775754627213,0
1,99,93.0,0.011079886,0,NORMAL,76-125,47.197514148142346,0
1,100,92.0,0.011216162,1,ANOMALO,76-125,50.03917019718738,1
1,101,91.0,0.011367087,1,ANOMALO,76-125,50.11948977669508,1
1,102,90.0,0.011475398,1,ANOMALO,76-125,50.177130949304384,1
1,103,89.0,0.011552307,1,ANOMALO,76-125,50.21806054042817,1
1,104,88.0,0.011141082,0,NORMAL,76-125,49.933954468380435,0
1,105,87.0,0.010844365,0,NORMAL,76-125,36.665957172804085,0
1,106,86.0,0.01057952,0,NORMAL,76-125,24.82314822101867,0
1,107,85.0,0.0110091325,0,NORMAL,76-125,44.03370066036586,0
1,108,84.0,0.011330914,1,ANOMALO,76-125,50.100239154534854,1
1,109,83.0,0.011467204,1,ANOMALO,76-125,50.17277024939061,1
1,110,82.0,0.011323284,1,ANOMALO,76-125,50.096178605310776,1
1,111,81.0,0.011579859,1,ANOMALO,76-125,50.23272322092906,1
1,112,80.0,0.01147782,1,ANOMALO,76-125,50.17841989428744,1
1,113,79.0,0.011566128,1,ANOMALO,76-125,50.22541582887194,1
1,114,78.0,0.011616226,1,ANOMALO,76-125,50.252077086411624,1
1,115,77.0,0.011387488,1,ANOMALO,76-125,50.130346823185306,1
1,116,76.0,0.011527145,1,ANOMALO,76-125,50.20466977508398,1
1,117,75.0,0.01177682,1,ANOMALO,31-75,50.33754233439215,1
1,118,74.0,0.011478256,1,ANOMALO,31-75,50.17865192567167,1
1,119,73.0,0.011604916,1,ANOMALO,31-75,50.24605810715549,1
1,120,72.0,0.0112470295,1,ANOMALO,31-75,50.05559732735438,1
1,121,71.0,0.011303871,1,ANOMALO,31-75,50.0858473547096,1
1,122,70.0,0.011680737,1,ANOMALO,31-75,50.286408684182845,1
1,123,69.0,0.012024212,1,ANOMALO,31-75,50.46919992202553,1
1,124,68.0,0.0122479815,1,ANOMALO,31-75,50.58828603861754,1
1,125,67.0,0.011971348,1,ANOMALO,31-75,50.44106664886936,1
1,126,66.0,0.012057181,1,ANOMALO,31-75,50.48674543282089,1
1,127,65.0,0.01200564,1,ANOMALO,31-75,50.45931623654853,1
1,128,64.0,0.0117123965,1,ANOMALO,31-75,50.303257302552396,1
1,129,63.0,0.011948472,1,ANOMALO,31-75,50.428892451746165,1
1,130,62.0,0.012081068,1,ANOMALO,31-75,50.49945766602083,1
1,131,61.0,0.012099798,1,ANOMALO,31-75,50.509425436265516,1
1,132,60.0,0.012505318,1,ANOMALO,31-75,50.72523591088512,1
1,133,59.0,0.012254493,1,ANOMALO,31-75,50.59175134219193,1
1,134,58.0,0.012150233,1,ANOMALO,31-75,50.53626603916411,1
1,135,57.0,0.012049162,1,ANOMALO,31-75,50.482477864770054,1
1,136,56.0,0.012055646,1,ANOMALO,31-75,50.48592853333741,1
1,137,55.0,0.011890466,1,ANOMALO,31-75,50.39802269836586,1
1,138,54.0,0.01157387,1,ANOMALO,31-75,50.2295359824883,1
1,139,53.0,0.011548996,1,ANOMALO,31-75,50.21629848558139,1
1,140,52.0,0.011681147,1,ANOMALO,31-75,50.286626878833154,1
1,141,51.0,0.011940454,1,ANOMALO,31-75,50.42462541587741,1
1,142,50.0,0.012063854,1,ANOMALO,31-75,50.49029668380022,1
1,143,49.0,0.012017601,1,ANOMALO,31-75,50.46568166633479,1
1,144,48.0,0.011988545,1,ANOMALO,31-75,50.45021858399472,1
1,145,47.0,0.0122397635,1,ANOMALO,31-75,50.58391256633399,1
1,146,46.0,0.011625788,1,ANOMALO,31-75,50.25716581140253,1
1,147,45.0,0.011445511,1,ANOMALO,31-75,50.161225623660876,1
1,148,44.0,0.01138665,1,ANOMALO,31-75,50.12990085460735,1
1,149,43.0,0.011497995,1,ANOMALO,31-75,50.18915666762895,1
1,150,42.0,0.011825779,1,ANOMALO,31-75,50.363597436549625,1
1,151,41.0,0.011656701,1,ANOMALO,31-75,50.27361715585389,1
1,152,40.0,0.012328786,1,ANOMALO,31-75,50.631288745010316,1
1,153,39.0,0.012103082,1,ANOMALO,31-75,50.5111731221963,1
1,154,38.0,0.012160714,1,ANOMALO,31-75,50.54184383948096,1
1,155,37.0,0.011922566,1,ANOMALO,31-75,50.41510574293897,1
1,156,36.0,0.012011075,1,ANOMALO,31-75,50.46220864612033,1
1,157,35.0,0.012010702,1,ANOMALO,31-75,50.46201014220676,1
1,158,34.0,0.011908165,1,ANOMALO,31-75,50.40744178889232,1
1,159,33.0,0.011979297,1,ANOMALO,31-75,50.44529696417502,1
1,160,32.0,0.012565633,1,ANOMALO,31-75,50.75733447267413,1
1,161,31.0,0.012376935,1,ANOMALO,31-75,50.656912779687914,1
1,162,30.0,0.012497516,1,ANOMALO,0-30,50.72108382634432,1
1,163,29.0,0.013044313,1,ANOMALO,0-30,51.01207938782236,1
1,164,28.0,0.013099898,1,ANOMALO,0-30,51.041660728401695,1
1,165,27.0,0.012897991,1,ANOMALO,0-30,50.93420944240095,1
1,166,26.0,0.012889197,1,ANOMALO,0-30,50.92952943324282,1
1,167,25.0,0.012521633,1,ANOMALO,0-30,50.73391846142126,1
1,168,24.0,0.012095857,1,ANOMALO,0-30,50.50732810671216,1
1,169,23.0,0.012013022,1,ANOMALO,0-30,50.46324480461827,1
1,170,22.0,0.011686562,1,ANOMALO,0-30,50.28950864476348,1
1,171,21.0,0.011695934,1,ANOMALO,0-30,50.29449625516034,1
1,172,20.0,0.011919116,1,ANOMALO,0-30,50.413269714783915,1
1,173,19.0,0.012042868,1,ANOMALO,0-30,50.479128310796746,1
1,174,18.0,0.012282645,1,ANOMALO,0-30,50.60673333193717,1
1,175,17.0,0.01235385,1,ANOMALO,0-30,50.64462735651127,1
1,176,16.0,0.012120092,1,ANOMALO,0-30,50.520225539273824,1
1,177,15.0,0.012628917,1,ANOMALO,0-30,50.79101308304064,1
1,178,14.0,0.012862839,1,ANOMALO,0-30,50.915502178138205,1
1,179,13.0,0.013160906,1,ANOMALO,0-30,51.074128092367935,1
1,180,12.0,0.013576027,1,ANOMALO,0-30,51.29504804707933,1
1,181,11.0,0.014592714,1,ANOMALO,0-30,51.83611064327576,1
1,182,10.0,0.015623846,1,ANOMALO,0-30,52.384860609530094,1
1,183,9.0,0.016078822,1,ANOMALO,0-30,52.62699068079792,1
1,184,8.0,0.017639121,1,ANOMALO,0-30,53.457353838566924,1
1,185,7.0,0.018172387,1,ANOMALO,0-30,53.74114844440263,1
1,186,6.0,0.01848796,1,ANOMALO,0-30,53.90909073801856,1
1,187,5.0,0.019302921,1,ANOMALO,0-30,54.342798373169636,1
1,188,4.0,0.019855127,1,ANOMALO,0-30,54.63667250748556,1
1,189,3.0,0.021205299,1,ANOMALO,0-30,55.35520984260613,1
1,190,2.0,0.022611434,1,ANOMALO,0-30,56.10352968312998,1
1,191,1.0,0.023352735,1,ANOMALO,0-30,56.49803678671546,1
1,192,0.0,0.024626328,1,ANOMALO,0-30,57.17582015079664,1
5,30,239.0,0.0095248185,0,NORMAL,RUL > 125,0.0,0
5,31,238.0,0.009628771,0,NORMAL,RUL > 125,0.0,0
5,32,237.0,0.009657776,0,NORMAL,RUL > 125,0.0,0
5,33,236.0,0.009741504,0,NORMAL,RUL > 125,0.0,0
5,34,235.0,0.009627526,0,NORMAL,RUL > 125,0.0,0
5,35,234.0,0.009611878,0,NORMAL,RUL > 125,0.0,0
5,36,233.0,0.009665366,0,NORMAL,RUL > 125,0.0,0
5,37,232.0,0.009360348,0,NORMAL,RUL > 125,0.0,0
5,38,231.0,0.009231792,0,NORMAL,RUL > 125,0.0,0
5,39,230.0,0.0091761295,0,NORMAL,RUL > 125,0.0,0
5,40,229.0,0.009335235,0,NORMAL,RUL > 125,0.0,0
5,41,228.0,0.009405471,0,NORMAL,RUL > 125,0.0,0
5,42,227.0,0.009597028,0,NORMAL,RUL > 125,0.0,0
5,43,226.0,0.009552376,0,NORMAL,RUL > 125,0.0,0
5,44,225.0,0.0095143225,0,NORMAL,RUL > 125,0.0,0
5,45,224.0,0.009578072,0,NORMAL,RUL > 125,0.0,0
5,46,223.0,0.009573771,0,NORMAL,RUL > 125,0.0,0
5,47,222.0,0.009554455,0,NORMAL,RUL > 125,0.0,0
5,48,221.0,0.00967374,0,NORMAL,RUL > 125,0.0,0
5,49,220.0,0.00956557,0,NORMAL,RUL > 125,0.0,0
5,50,219.0,0.009728801,0,NORMAL,RUL > 125,0.0,0
5,51,218.0,0.010005209,0,NORMAL,RUL > 125,0.0,0
5,52,217.0,0.010332384,0,NORMAL,RUL > 125,13.772214908672028,0
5,53,216.0,0.010386903,0,NORMAL,RUL > 125,16.21008649862986,0
5,54,215.0,0.010155927,0,NORMAL,RUL > 125,5.881763742121036,0
5,55,214.0,0.0102131,0,NORMAL,RUL > 125,8.438311595395273,0
5,56,213.0,0.009958716,0,NORMAL,RUL > 125,0.0,0
5,57,212.0,0.009985817,0,NORMAL,RUL > 125,0.0,0
5,58,211.0,0.009821955,0,NORMAL,RUL > 125,0.0,0
5,59,210.0,0.009574606,0,NORMAL,RUL > 125,0.0,0
5,60,209.0,0.009604983,0,NORMAL,RUL > 125,0.0,0
5,61,208.0,0.009557159,0,NORMAL,RUL > 125,0.0,0
5,62,207.0,0.009565367,0,NORMAL,RUL > 125,0.0,0
5,63,206.0,0.009468809,0,NORMAL,RUL > 125,0.0,0
5,64,205.0,0.009303221,0,NORMAL,RUL > 125,0.0,0
5,65,204.0,0.009612279,0,NORMAL,RUL > 125,0.0,0
5,66,203.0,0.009423045,0,NORMAL,RUL > 125,0.0,0
5,67,202.0,0.009631012,0,NORMAL,RUL > 125,0.0,0
5,68,201.0,0.009919704,0,NORMAL,RUL > 125,0.0,0
5,69,200.0,0.010065919,0,NORMAL,RUL > 125,1.8569660373038328,0
5,70,199.0,0.0099934535,0,NORMAL,RUL > 125,0.0,0
5,71,198.0,0.0101185255,0,NORMAL,RUL > 125,4.2093182777542815,0
5,72,197.0,0.009858904,0,NORMAL,RUL > 125,0.0,0
5,73,196.0,0.01007301,0,NORMAL,RUL > 125,2.174047191477478,0
5,74,195.0,0.01033035,0,NORMAL,RUL > 125,13.681262565195926,0
5,75,194.0,0.010564207,0,NORMAL,RUL > 125,24.138412116962773,0
5,76,193.0,0.010678384,0,NORMAL,RUL > 125,29.243950819554875,0
5,77,192.0,0.0110319145,0,NORMAL,RUL > 125,45.052420566498064,0
5,78,191.0,0.011160998,1,ANOMALO,RUL > 125,50.00981290526117,1
5,79,190.0,0.011064014,0,NORMAL,RUL > 125,46.4877818002304,0
5,80,189.0,0.010834239,0,NORMAL,RUL > 125,36.213162959412216,0
5,81,188.0,0.010636448,0,NORMAL,RUL > 125,27.36874065435604,0
5,82,187.0,0.010557518,0,NORMAL,RUL > 125,23.839306794685587,0
5,83,186.0,0.01035494,0,NORMAL,RUL > 125,14.780828998862408,0
5,84,185.0,0.010298423,0,NORMAL,RUL > 125,12.253614841419129,0
5,85,184.0,0.010627439,0,NORMAL,RUL > 125,26.96589421267647,0
5,86,183.0,0.010589107,0,NORMAL,RUL > 125,25.251840510549407,0
