unit_number,ciclo_atual,ciclos_disponiveis,rul_estimado,rul_pred_raw,rul_score,erro_reconstrucao,anomaly_score,anomalia_detectada,trend_slope,trend_score,health_score,health_status,priority_score,priority_class,status_pipeline,mensagem,interpretacao_anomalia,rul_real,erro_rul,erro_abs_rul
1,31,31,111.97361755371094,111.97361755371094,89.57889404296876,0.00894852727651596,0.0,False,,,,,,,ANALISE_PARCIAL,RUL e anomalia disponíveis. Histórico insuficiente para Trend Score de 10 janelas. Health Score e prioridade ainda não são calculados.,Comportamento próximo do padrão saudável aprendido.,112,-0.0263824462890625,0.0263824462890625
2,49,49,117.81171417236328,117.81171417236328,94.24937133789062,0.009048119187355042,0.0,False,-0.00015292658724568113,0.0,96.54962280273438,SAUDAVEL,5.060553222656251,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,98,19.81171417236328,19.81171417236328
3,126,126,44.29353713989258,44.29353713989258,35.43482971191406,0.010060020722448826,1.593218659844733,False,2.494927382830372e-05,17.65361010153616,58.21455164695683,RISCO,57.7312537075731,P2_ALTA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,69,-24.706462860107422,24.706462860107422
4,106,106,81.3392105102539,81.3392105102539,65.07136840820313,0.009636715054512024,0.0,False,2.780280668627082e-05,19.69346616864979,76.0888011196244,ATENCAO,31.623401778370486,P3_MEDIA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,82,-0.6607894897460938,0.6607894897460938
5,98,98,101.35780334472656,101.35780334472656,81.08624267578125,0.010371781885623932,15.533930752084283,False,-2.0239558635336144e-05,0.0,84.76826291744767,SAUDAVEL,17.809151251718824,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,91,10.357803344726562,10.357803344726562
6,105,105,109.73883819580078,109.73883819580078,87.79107055664063,0.00962859857827425,0.0,False,-2.4522812754818803e-05,0.0,92.67464233398438,SAUDAVEL,10.743857910156242,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,93,16.73883819580078,16.73883819580078
7,160,160,108.15532684326172,108.15532684326172,86.52426147460938,0.010160833597183228,6.10116714050246,False,7.380579570026124e-05,52.57883350673699,82.50244007362946,SAUDAVEL,14.6822849456846,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,91,17.15532684326172,17.15532684326172
8,166,166,94.28976440429688,94.28976440429688,75.4318115234375,0.009765936061739922,0.0,False,-6.828604435378896e-05,0.0,85.2590869140625,SAUDAVEL,21.620005859375,P3_MEDIA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,95,-0.710235595703125,0.710235595703125
9,55,55,118.95635986328125,118.95635986328125,95.165087890625,0.010065159760415554,1.8230158802413199,False,-1.6954021923470073e-05,0.0,96.64329876431466,SAUDAVEL,4.391448847268098,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,111,7.95635986328125,7.95635986328125
10,192,192,85.3164291381836,85.3164291381836,68.25314331054688,0.01068896520882845,29.717100150802434,False,0.0001264404618378845,90.20487406959943,59.9918798381876,RISCO,34.22523573116091,P3_MEDIA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,96,-10.683570861816406,10.683570861816406
11,83,83,86.91124725341797,86.91124725341797,69.52899780273437,0.009950737468898296,0.0,False,9.26793468269435e-05,66.07064512763752,71.80680191249499,ATENCAO,29.787660964337444,P3_MEDIA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,97,-10.088752746582031,10.088752746582031
12,217,217,111.58802032470703,111.58802032470703,89.27041625976562,0.009928680956363678,0.0,False,-0.00011021460434704112,0.0,93.56224975585937,SAUDAVEL,9.442033691406252,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,124,-12.411979675292969,12.411979675292969
13,195,195,87.73835754394531,87.73835754394531,70.19068603515625,0.00964224524796009,0.0,False,1.6763258838292544e-05,11.801814038899089,80.34413951525889,SAUDAVEL,26.763277920812957,P3_MEDIA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,95,-7.2616424560546875,7.2616424560546875
14,46,46,113.07096099853516,113.07096099853516,90.45676879882812,0.009237248450517654,0.0,False,-1.893736647837083e-05,0.0,94.27406127929687,SAUDAVEL,8.398043457031253,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,107,6.070960998535156,6.070960998535156
15,76,76,107.41429138183594,107.41429138183594,85.93143310546874,0.010301975533366203,12.412469922507304,False,3.1959113072265096e-05,22.664613591950733,85.05605034386181,SAUDAVEL,14.331181723013335,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,83,24.414291381835938,24.414291381835938
16,113,113,107.36865997314453,107.36865997314453,85.89492797851562,0.009642315097153187,0.0,False,-1.64103496706848e-05,0.0,91.53695678710938,SAUDAVEL,12.41246337890625,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,84,23.36865997314453,23.36865997314453
