configuracao,tipo,grupo,P4_BAIXA,P3_MEDIA,P2_ALTA,P1_IMEDIATA
A_20_50_80,RUL,RUL > 125,100.0,0.0,0.0,0.0
A_20_50_80,RUL,76-125,49.89451476793249,50.105485232067515,0.0,0.0
A_20_50_80,RUL,31-75,0.0,36.11111111111111,63.888888888888886,0.0
A_20_50_80,RUL,0-30,0.0,0.0,23.870967741935484,76.12903225806451
A_20_50_80,STATUS,SAUDAVEL,92.6626323751891,7.337367624810892,0.0,0.0
A_20_50_80,STATUS,ATENCAO,12.893982808022923,81.08882521489971,6.017191977077363,0.0
A_20_50_80,STATUS,RISCO,0.0,20.726172465960666,79.12254160363086,0.15128593040847202
A_20_50_80,STATUS,CRITICO,0.0,0.0,25.119236883942765,74.88076311605724
B_15_45_75,RUL,RUL > 125,100.0,0.0,0.0,0.0
B_15_45_75,RUL,76-125,36.28691983122363,63.71308016877637,0.0,0.0
B_15_45_75,RUL,31-75,0.0,21.22222222222222,78.55555555555556,0.2222222222222222
B_15_45_75,RUL,0-30,0.0,0.0,5.806451612903226,94.19354838709677
B_15_45_75,STATUS,SAUDAVEL,85.85476550680787,14.145234493192133,0.0,0.0
B_15_45_75,STATUS,ATENCAO,7.306590257879657,78.93982808022922,13.753581661891118,0.0
B_15_45_75,STATUS,RISCO,0.0,8.623298033282904,87.89712556732225,3.479576399394856
B_15_45_75,STATUS,CRITICO,0.0,0.0,10.492845786963434,89.50715421303657
C_20_45_75,RUL,RUL > 125,100.0,0.0,0.0,0.0
C_20_45_75,RUL,76-125,49.89451476793249,50.105485232067515,0.0,0.0
C_20_45_75,RUL,31-75,0.0,21.22222222222222,78.55555555555556,0.2222222222222222
C_20_45_75,RUL,0-30,0.0,0.0,5.806451612903226,94.19354838709677
C_20_45_75,STATUS,SAUDAVEL,92.6626323751891,7.337367624810892,0.0,0.0
C_20_45_75,STATUS,ATENCAO,12.893982808022923,73.35243553008596,13.753581661891118,0.0
C_20_45_75,STATUS,RISCO,0.0,8.623298033282904,87.89712556732225,3.479576399394856
C_20_45_75,STATUS,CRITICO,0.0,0.0,10.492845786963434,89.50715421303657
D_25_50_75,RUL,RUL > 125,100.0,0.0,0.0,0.0
D_25_50_75,RUL,76-125,63.39662447257383,36.60337552742617,0.0,0.0
D_25_50_75,RUL,31-75,0.0,36.11111111111111,63.66666666666667,0.2222222222222222
D_25_50_75,RUL,0-30,0.0,0.0,5.806451612903226,94.19354838709677
D_25_50_75,STATUS,SAUDAVEL,97.88199697428139,2.118003025718608,0.0,0.0
D_25_50_75,STATUS,ATENCAO,21.346704871060172,72.63610315186246,6.017191977077363,0.0
D_25_50_75,STATUS,RISCO,0.0,20.726172465960666,75.79425113464447,3.479576399394856
D_25_50_75,STATUS,CRITICO,0.0,0.0,10.492845786963434,89.50715421303657
E_20_50_75,RUL,RUL > 125,100.0,0.0,0.0,0.0
E_20_50_75,RUL,76-125,49.89451476793249,50.105485232067515,0.0,0.0
E_20_50_75,RUL,31-75,0.0,36.11111111111111,63.66666666666667,0.2222222222222222
E_20_50_75,RUL,0-30,0.0,0.0,5.806451612903226,94.19354838709677
E_20_50_75,STATUS,SAUDAVEL,92.6626323751891,7.337367624810892,0.0,0.0
E_20_50_75,STATUS,ATENCAO,12.893982808022923,81.08882521489971,6.017191977077363,0.0
E_20_50_75,STATUS,RISCO,0.0,20.726172465960666,75.79425113464447,3.479576399394856
E_20_50_75,STATUS,CRITICO,0.0,0.0,10.492845786963434,89.50715421303657
