unit_number,cycle,RUL_linear,erro_reconstrucao,slope,horizonte,faixa_RUL,trend_score
1,39,153.0,0.010267194,3.105635757575749e-05,10,RUL > 125,22.01927626158506
1,40,152.0,0.00999713,2.167823636363597e-05,10,RUL > 125,15.3152996806735
1,41,151.0,0.009936991,5.604024242424364e-06,10,RUL > 125,3.8246034975272765
1,42,150.0,0.009905132,-1.3902296969697106e-05,10,RUL > 125,0.0
1,43,149.0,0.009636962,-4.562458181818183e-05,10,RUL > 125,0.0
1,44,148.0,0.0094558215,-8.431694242424214e-05,10,RUL > 125,0.0
1,45,147.0,0.009535267,-0.0001010091,10,RUL > 125,0.0
1,46,146.0,0.009525621,-0.0001032011666666,10,RUL > 125,0.0
1,47,145.0,0.009401453,-0.0001033460212121,10,RUL > 125,0.0
1,48,144.0,0.009425238,-9.148441515151524e-05,10,RUL > 125,0.0
1,49,143.0,0.009336592,-7.454597272727287e-05,10,RUL > 125,0.0
1,50,142.0,0.009175219,-7.313393636363673e-05,10,RUL > 125,0.0
1,51,141.0,0.009318665,-5.79442818181816e-05,10,RUL > 125,0.0
1,52,140.0,0.009623968,-2.073080909090905e-05,10,RUL > 125,0.0
1,53,139.0,0.009584261,-1.5312424242455564e-07,10,RUL > 125,0.0
1,54,138.0,0.009558056,7.557963636363618e-06,10,RUL > 125,5.221382622173075
1,55,137.0,0.009239113,1.9293212121210653e-06,10,RUL > 125,1.1977316007217218
1,56,136.0,0.009339652,4.731303030302964e-06,10,RUL > 125,3.2007362606478478
1,57,135.0,0.00924575,-3.612339393939425e-06,10,RUL > 125,0.0
1,58,134.0,0.009089611,-1.6999678787878415e-05,10,RUL > 125,0.0
1,59,133.0,0.009481255,-1.086614545454572e-05,10,RUL > 125,0.0
1,60,132.0,0.009212421,-3.1907975757575485e-05,10,RUL > 125,0.0
1,61,131.0,0.009170528,-4.612274545454543e-05,10,RUL > 125,0.0
1,62,130.0,0.009215076,-3.5758490909090585e-05,10,RUL > 125,0.0
1,63,129.0,0.009612271,-1.4199212121213652e-06,10,RUL > 125,0.0
1,64,128.0,0.0094345305,2.1137196969696597e-05,10,RUL > 125,14.928536133447007
1,65,127.0,0.00948666,2.6772154545454464e-05,10,RUL > 125,18.956701558893148
1,66,126.0,0.009529154,3.842699696969718e-05,10,RUL > 125,27.288198763828742
1,67,125.0,0.009627674,4.689853030303016e-05,10,76-125,33.34409842501773
